sampleID	measurement1	measurement2	measurement3
2-D0AM	8097579.617	8536465.812	9538355.244
2-D0PM	29727973.89	56141273.3	24364385.02
2-D10	41290040114	64235676192	83845565730
2-D11	29813632146	65875384713	50778117904
2-D14	16477705229	71049070089	24988685455
2-D16	36664874855	62378985174	38759987313
2-D18	45232566586	23205043820	23302490409
2-D1AM	1.52E+11	3.83E+11	2.32E+11
2-D1PM	4096267650	10337140649	10365582305
2-D21AM	96172168318	1.72E+11	94880822923
2-D21PM	2.06E+11	67550021796	2.55E+11
2-D22AM	60558362970	1.31E+11	1.08E+11
2-D22PM	91639598820	1.42E+11	1.39E+11
2-D23AM	43242325773	65089446896	54184122358
2-D23PM	74259662634	1.16E+11	1.16E+11
2-D24	1.44E+11	2.08E+11	2.52E+11
2-D25	89980137212	1.09E+11	1.40E+11
2-D28AM	55936838438	83114080566	57890100372
2-D28PM	63820889496	96676954233	1.06E+11
2-D29AM	1.43E+11	1.35E+11	3.45E+11
2-D29PM	2.20E+11	1.65E+11	2.91E+11
2-D2AM	3134399726	7570235003	13617737385
2-D2PM	15867908409	17650644346	23635722122
2-D30AM	3.40E+11	1.18E+11	5.25E+11
2-D30PM	25206515656	16295107582	31571354938
2-D31AM	3.38E+11	3.77E+11	4.86E+11
2-D31PM	1.38E+11	1.72E+11	2.96E+11
2-D32	1.49E+11	1.26E+11	1.62E+11
2-D33	2.08E+11	3.18E+11	2.59E+11
2-D35AM	1.06E+11	2.07E+11	2.27E+11
2-D35PM	1.36E+11	1.36E+11	1.72E+11
2-D36AM	1.34E+11	1.11E+11	2.44E+11
2-D36PM	1.82E+11	2.17E+11	3.07E+11
2-D37AM	33828915999	65197173728	39361520496
2-D37PM	56948032512	1.01E+11	91948856328
2-D38	81021152718	1.18E+11	1.25E+11
2-D39	91848937100	1.46E+11	1.38E+11
2-D3AM	11421116252	24200245624	18719856944
2-D3PM	42832166048	57391824084	83134697320
2-D42AM	49234505957	1.07E+11	73994173958
2-D42PM	72178820631	92113076663	87845327233
2-D43AM	15919674580	29030089468	31387176159
2-D43PM	12379777545	12837685830	19963707682
2-D44AM	16698034673	20311933572	21929225514
2-D44PM	17427625601	32965852668	37710572441
2-D45AM	14672546925	14137963828	14249820727
2-D45PM	9901020987	13896822731	12923385124
2-D46	12691494913	16873397207	16128096050
2-D47	31046265446	42387500796	72251364334
2-D4AM	45485919942	67572063848	85021835385
2-D4PM	17691156655	41790281504	40465127119
2-D5	18402114965	29286254283	29679010039
2-D50AM	14073183972	23596253440	23261247385
2-D50PM	8229638305	32901375189	11458743151
2-D51AM	17929365519	26160143175	28461149081
2-D51PM	25913718156	11332185334	30300366380
2-D52AM	6842636330	11864112529	10852917348
2-D52PM	18596443026	59729122085	28187947868
2-D53	41973344114	36769092520	51373046902
2-D54	36985979275	40700420862	55893394625
2-D57AM	1.10E+11	2.23E+11	1.17E+11
2-D57PM	49040509918	69001767007	71415696801
2-D58AM	66646977420	68109926376	67494149252
2-D58PM	65989219216	1.04E+11	92464815960
2-D59AM	69844309712	93298030323	1.05E+11
2-D59PM	1.06E+11	1.47E+11	1.52E+11
2-D6	24374766971	21103485854	34415373873
2-D60AM	3.40E+11	1.05E+11	3.44E+11
2-D60PM	32607459918	37443749500	45377366316
2-D61	62889636355	82189460771	62415575810
2-D62	1.45E+11	2.90E+11	1.27E+11
2-D63	5752414612	11342357507	11076196619
2-D64AM	70238452838	1.01E+11	81290975965
2-D64PM	2.44E+11	3.08E+11	2.64E+11
2-D7	63940635036	24028686833	73917832441
2-D8	1.31E+11	2.03E+11	1.11E+11
2-D9	59563252959	1.36E+11	1.28E+11
3-D0AM	16306635.45	18837859.55	52969673.93
3-D0PM	2427086252	2657265381	6204210421
3-D10	39548527671	80474378764	74781247127
3-D11	63216736967	44347783303	78470784932
